"Artifact_ID","Core","Class","Length","Width","Laminar_Index","MeanThick","Max_Thick","CarenIndex","Surf_Area","Surf_Thick","Angle_Lat_Marg","SDThick","CVThick","Weight","Curvature","Surface.Plat","Plat_Depth","Plat_Width","FlakeSurf_Plat","Plat_Prof","Plat_Prep","Cortex","Cortex_Loc","No_Scars","Long_Ridges","Termination_type","Trans_Section","Flake_Type","EPA","IPA","X_W_rat","IL_PS","Surf_ProxW"
"Lev_15_08","Lev_15","L",53.4,55,0.970909090909091,6.46666666666667,6.9,7.73913043478261,2937,454.175257731959,-15.3579276147374,0.368178700572909,0.0569348506040581,16.64,169.238987142537,96.94,7.4,26.2,30.2970909841139,"CX","MF",5,5,5,0,"Feather","Triangular","Flake",75,100,1.4618320610687,0.0100155672674757,0.395089746234784
"Lev_15_09","Lev_15","L",42.9,40.1,1.06982543640898,5.83333333333333,7,5.72857142857143,1720.29,294.906857142857,-7.22061007992796,1.31233464566864,0.224971653543195,10.72,177.817039629957,101.622668361996,5.7,22.7,16.9282112714464,"CX","MF",5,5,5,0,"Feather","Trapezoidal","Flake",84,95,1.38766519823789,0.0105274291027086,0.309970211447234
"Lev_15_10","Lev_15","L",52.4,47.7,1.09853249475891,5.9,7.5,6.36,2499.48,423.640677966102,4.22655316478262,1.66733320005331,0.282598847466662,14.01,176.192976543662,191.345,7.1,30.1,13.0626878152029,"CX","MF",5,5,3,0,"Feather","Trapezoidal_Asymmetric","Backed Flake",86,94,1.23920265780731,0.00574110896422122,0.19493584885939
"Lev_15_11","Lev_15","L",41.2,25.4,1.62204724409449,4.76666666666667,5.8,4.37931034482759,1046.48,219.541258741259,4.72561181532711,1.39124245031395,0.291869045520409,5.16,176.104612647891,24.4101749183927,3.7,8.4,42.8706473222153,"RT","L",5,5,4,0,"Feather","Circular","Flake",81,105,2.48809523809524,0.0664496362487063,0.856200337354083
"Lev_15_12","Lev_15","L",61.3,48.6,1.26131687242798,5.66666666666667,8.3,5.85542168674699,2979.18,525.737647058823,10.1335093714928,2.29830855679176,0.405583862963252,12.38,170.987380283231,40.04,5.6,14.3,74.4050949050949,"CX","MF",5,5,4,0,"Plunging","Triangular","Flake",89,94,2.02797202797203,0.0315014203903093,0.724275724275724
"Lev_15_13","Lev_15","L",40.4,23.9,1.69037656903766,4.26666666666667,5.2,4.59615384615385,965.56,226.303125,7.50577312204206,1.04986771653491,0.246062746062869,4.84,178.865393033385,59.4,5.4,22,16.2552188552189,"BF","D",2,2,1,0,"Feather","Circular","Flake",85,94,1.04545454545455,0.0284575179972669,0.387205387205387
"Lev_15_14","Lev_15","L",42.9,55.6,0.77158273381295,5.73333333333333,6.1,7.0327868852459,2385.24,416.03023255814,12.3240952997678,0.262466929133727,0.0457791155465803,15.05,178.78305274156,56.7,6,18.9,42.0677248677249,"CX","MF",5,5,3,0,"Hinge","Trapezoidal_Asymmetric","Pseudo-Point",86,91,1.79365079365079,0.0136081610901755,0.597883597883598
"Lev_15_15","Lev_15","L",23.4,27,0.866666666666667,3.63333333333333,4,5.85,631.8,173.889908256881,-11.9699046302308,0.518544972870135,0.142718799872514,2.13,174.450915756867,24.61,4.6,10.7,25.6724908573751,"RT","MF",3,3,2,0,"Hinge","Triangular_Asymmetric","Backed Flake",86,96,1.75700934579439,0.0352160368413924,0.763917106867127
"Lev_15_16","Lev_15","L",54.4,45.3,1.20088300220751,10.4,13.7,3.30656934306569,2464.32,236.953846153846,-5.05223382323911,3.18224239596337,0.305984845765708,27.24,179.578705605446,35.1,6,11.7,70.208547008547,"RT","L",5,5,6,0,"Feather","Triangular","Flake",79,107,2.77777777777778,0.0342131909460828,0.925925925925926
"Lev_15_17","Lev_15","L",41.6,44,0.945454545454545,7.3,8.1,5.1358024691358,1830.4,250.739726027397,-5.55708099171897,1.13137084989848,0.154982308205271,15.88,177.930401492066,161.84,6.8,26.2,11.3099357390015,"CX","MF",2,2,1,0,"Hinge","Circular","Flake",89,94,1.52671755725191,0.00584190895609581,0.247157686604053
"Lev_15_18","Lev_15","L",18.6,19.6,0.948979591836735,1.73333333333333,2.4,7.75,364.56,210.323076923077,-4.9256333518337,0.478423336480244,0.276013463353987,0.58,173.833220640451,8.81216739331937,2.2,5.1,41.3700720524644,"RT","L",5,5,1,0,"Feather","Circular","Flake",76,105,2.68627450980392,0.107689691931655,1.55466860631655
"Lev_15_19","Lev_15","L",58.8,31.4,1.87261146496815,11.8666666666667,14.4,2.18055555555556,1846.32,155.588764044944,-1.16926104141036,1.7931970208417,0.151112108497896,19.19,175.320194411297,61.92,7.2,17.2,29.8178294573643,"CX","L",1,1,0,0,"Feather","Triangular_Asymmetric","Backed Flake",85,96,1.42441860465116,0.0302424332197699,0.395671834625323
"Lev_15_21","Lev_15","L",67.8,40.8,1.66176470588235,6.3,9.1,4.48351648351648,2766.24,439.085714285714,-10.1519763771222,2.06074420214316,0.327102254308439,17.34,168.137564069679,31.5,4.5,14,87.8171428571429,"CX","MF",1,1,0,0,"Feather","Triangular_Asymmetric","Backed Flake",81,97,1.86428571428571,0.0527544351073763,0.828571428571429
"Lev_15_22","Lev_15","L",76,50.9,1.49312377210216,9.46666666666667,9.9,5.14141414141414,3868.4,408.633802816901,1.27791979798326,0.368178700572909,0.0388921162577016,35.81,173.176096047524,70.445,7.3,19.3,54.9137625097594,"CC","MF",1,1,0,0,"Feather","Triangular_Asymmetric","Backed Flake",84,102,1.93264248704663,0.0211955961686729,0.529491092341543
"Lev_17_01","Lev_17","L",57.2,68.5,0.835036496350365,12.1666666666667,15.5,3.69032258064516,3918.2,322.043835616438,-3.8744139341357,2.61958436058513,0.215308303609737,25.98,178.988871768104,97.68,13.2,14.8,40.1126126126126,"CX","MF",5,5,2,0,"Hinge","Triangular_Asymmetric","Backed Flake",80,110,2.16891891891892,0.00854869468008154,0.328624078624079
"Lev_17_03","Lev_17","L",62,43.9,1.4123006833713,5.9,7.4,5.93243243243243,2721.8,461.322033898305,-2.31000073608955,1.36381816969859,0.231155621982811,18.3,175.191728609867,73.815,5.7,6.2,36.8732642416853,"RT","MF",5,5,4,0,"Feather","Triangular","Flake",81,93,4.88709677419355,0.0191329768119122,0.410485673643568
"Lev_17_04","Lev_17","L",68.9,41.3,1.6682808716707,10.6,11.5,3.59130434782609,2845.57,268.45,-8.79741070999106,0.637704215656967,0.060160775061978,28.24,179.334729483647,126.525,10.5,24.1,22.4901798063624,"CX","MF",5,5,3,0,"Hinge","Triangular","Flake",81,115,1.1701244813278,0.0131853852730346,0.222880853586248
"Lev_17_05","Lev_17","L",38.8,59.8,0.648829431438127,9.06666666666667,10.5,3.69523809523809,2320.24,255.908823529412,6.34330286934122,1.18415464455544,0.130605291678909,17.65,177.045955192219,76.985,8.9,17.3,30.1388582191336,"CC","L",5,5,4,0,"Feather","Triangular","Flake",79,117,1.92485549132948,0.0084279980702491,0.432551795804377
"Lev_17_06","Lev_17","L",69,80,0.8625,15.1666666666667,20.4,3.38235294117647,5520,363.956043956044,20.1343637341546,5.24362046257693,0.345733217312765,67.55,179.335693665433,163.5,10.9,30,33.7614678899083,"CX","MF",2,2,2,0,"Feather","Trapezoidal_Asymmetric","Backed Flake",85,97,1.95333333333333,0.00527522935779817,0.358409785932722
"Lev_17_08","Lev_17","L",38.6,57.8,0.667820069204152,6.06666666666667,6.8,5.67647058823529,2231.08,367.76043956044,-30.7110988288437,0.543650214343336,0.0896126726939565,14.27,174.652475445595,28.75,4.6,12.5,77.6027826086957,"CC","L",4,3,2,0,"Hinge","Trapezoidal","Flake",62,115,2.88,0.0232285241462314,1.25217391304348
"Lev_17_09","Lev_17","L",49.6,48.4,1.02479338842975,10.8666666666667,13.2,3.66666666666667,2400.64,220.917791411043,-1.73260322599893,2.32139804619735,0.213625587073376,18.11,172.596721709125,77.2,8,19.3,31.0963730569948,"CX","MF",5,5,4,0,"Feather","Triangular_Asymmetric","Backed Flake",78,106,1.73575129533679,0.0132745257568621,0.433937823834197
"Lev_17_10","Lev_17","L",53,51.8,1.02316602316602,7.8,10.5,4.93333333333333,2745.4,351.974358974359,-7.87924202111348,2.03141986469235,0.260438444191326,23.82,166.533465605225,58.58,5.8,20.2,46.8658245134858,"CX","L",1,1,0,0,"Feather","Trapezoidal_Asymmetric","Backed Flake",80,110,1.59405940594059,0.017466132181052,0.549675657220895
"Lev_17_11","Lev_17","L",53.9,64.3,0.838258164852255,12.6333333333333,14.1,3.82269503546099,3465.77,274.335356200528,-8.74350701709283,1.27104506432917,0.100610427255607,43.74,178.388764705571,360,9.6,40.7,9.62713888888889,"CX","MF",3,2,3,0,"Feather","Triangular","Flake",75,111,1.11302211302211,0.00232849490236738,0.125833333333333
"Lev_17_12","Lev_17","L",82.6,72.6,1.13774104683196,12.9333333333333,18,4.03333333333333,5996.76,463.667010309278,-22.7106973277465,4.95939064357261,0.38345803945149,47.18,171.888147376851,136.64,11.2,24.4,43.8872950819672,"CX","L",1,1,0,0,"Feather","Triangular","Flake",70,118,1.51639344262295,0.00832655918348914,0.270784543325527
"Lev_17_13","Lev_17","L",34.1,32,1.065625,8.86666666666667,10,3.2,1091.2,123.067669172932,9.83597646316939,1.14406682011537,0.129030092494214,11.17,175.734159123171,62,6.2,20,17.6,"CX","MF",5,5,2,0,"Hinge","Triangular_Asymmetric","Backed Flake",76,110,1.28,0.0171875,0.412903225806452
"Lev_17_14","Lev_17","L",30.8,45.8,0.672489082969432,7.6,8.5,3.62352941176471,1410.64,185.610526315789,-8.17123355994976,0.648074069840786,0.0852729039264192,8.73,180,12.09,3.1,7.8,116.678246484698,"RT","L",5,5,2,0,"Hinge","Triangular_Asymmetric","Backed Flake",75,105,3.61538461538462,0.055623580063642,2.33250620347395
"Lev_17_15","Lev_17","L",31.5,66.7,0.472263868065967,6.93333333333333,8.6,3.66279069767442,2101.05,303.036057692308,-47.6208430008695,2.0138409955991,0.290457835903716,12.2,179.272424769066,86.24,4.4,24.8,24.3628246753247,"CX","L",5,5,3,0,"Hinge","Trapezoidal","Flake",75,112,1.31451612903226,0.00547615802488366,0.378014842300557
